,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataNormalised,Purpose,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal
2010-04-01,5077.238,8.532719612121582,8.731039883679518,-0.19832027155793597,0.051745572962383884,-0.2500658445203199,-1.139858621779781,Train,-1.139858621779781,0.0,-0.2500658445203199,0.0,-0.198320271557936,2.7755575615628914e-17,8.532719612121582,0.0,5084.341122084786,-7.103329116035638
2010-05-01,5315.7656,8.578620910644531,8.724100754232346,-0.14547984358781463,0.0454029861687791,-0.19088282975659374,-0.8700885947264798,Train,-0.8700885947264798,0.0,-0.19088282975659374,0.0,-0.14547984358781463,0.0,8.578620910644531,0.0,5323.205027086716,-7.439402086715745
2010-06-01,4986.3696,8.514663696289062,8.717161624785174,-0.20249792849611126,0.008284852347586616,-0.21078278084369786,-0.960797227339393,Train,-0.960797227339393,0.0,-0.21078278084369786,0.0,-0.20249792849611126,0.0,8.514663696289062,0.0,4993.344615616085,-6.974986709835321
2010-07-01,5758.746,8.658648490905762,8.710222495338,-0.05157400443223814,0.105324429131593,-0.15689843356383115,-0.7151797662912848,Train,-0.7151797662912848,0.0,-0.15689843356383115,0.0,-0.051574004432238155,1.3877787807814457e-17,8.658648490905762,0.0,5766.801526772196,-8.055433022195757
2010-08-01,5452.0674,8.603933334350586,8.703283365890828,-0.0993500315402418,0.02354970071608066,-0.12289973225632246,-0.560205731796421,Train,-0.560205731796421,0.0,-0.12289973225632246,0.0,-0.0993500315402418,0.0,8.603933334350586,0.0,5459.693702730916,-7.626319918415902
2010-09-01,5281.69,8.572190284729004,8.696344236443656,-0.12415395171465171,-0.0670402154033809,-0.05711373631127081,-0.2603377717630244,Train,-0.2603377717630244,0.0,-0.05711373631127081,0.0,-0.12415395171465171,0.0,8.572190284729004,0.0,5289.07690645656,-7.386965050310209
2010-10-01,6065.425,8.710524559020996,8.689405106996483,0.021119452024512597,0.13783556813467257,-0.11671611611015997,-0.5320193627562971,Train,-0.5320193627562971,0.0,-0.11671611611015999,1.3877787807814457e-17,0.021119452024512583,1.3877787807814457e-17,8.710524559020996,0.0,6073.909294320221,-8.484489632721306
2010-11-01,5929.123,8.687800407409668,8.682465977549311,0.005334429860356593,0.18038203553350485,-0.17504760567314825,-0.7979079387318405,Train,-0.7979079387318405,0.0,-0.17504760567314825,0.0,0.005334429860356593,0.0,8.687800407409668,0.0,5937.418823015034,-8.295776140033922
2010-12-01,6042.708,8.706772804260254,8.67552684810214,0.03124595615811465,0.30760548390462783,-0.2763595277465132,-1.259711381284838,Train,-1.259711381284838,0.0,-0.2763595277465132,0.0,0.03124595615811465,0.0,8.706772804260254,0.0,6051.16042522692,-8.45241741441987
2011-01-01,6235.802,8.7382230758667,8.668587718654965,0.06963535721173386,0.1793647360706121,-0.10972937885887823,-0.5001721798302965,Train,-0.5001721798302965,0.0,-0.10972937885887823,0.0,0.06963535721173386,0.0,8.7382230758667,0.0,6244.527296397908,-8.725538585407776
2011-02-01,5508.8594,8.614294052124023,8.661648589207793,-0.0473545370837698,0.0974195118800889,-0.1447740489638587,-0.6599139848065623,Train,-0.6599139848065623,0.0,-0.1447740489638587,0.0,-0.0473545370837698,0.0,8.614294052124023,0.0,5516.56451150204,-7.70513650203975
2011-03-01,5849.614,8.674302101135254,8.654709459760621,0.01959264137463279,0.12094685238683134,-0.10135421101219855,-0.4619962054296225,Train,-0.4619962054296225,0.0,-0.10135421101219855,0.0,0.01959264137463279,0.0,8.674302101135254,0.0,5857.798803582142,-8.185034050891772
2011-04-01,5849.614,8.674302101135254,8.647770330313449,0.026531770821804912,0.051745572962383884,-0.025213802140578973,-0.11493040888058213,Train,-0.11493040888058213,0.0,-0.025213802140578973,0.0,0.026531770821804912,0.0,8.674302101135254,0.0,5857.798803582142,-8.185034050891772
2011-05-01,6167.651,8.727235794067383,8.640831200866277,0.08640459320110594,0.0454029861687791,0.04100160703232684,0.18689491710582876,Train,0.18689491710582876,0.0,0.04100160703232684,0.0,0.08640459320110594,0.0,8.727235794067383,0.0,6176.281532281103,-8.630653374852955
2011-06-01,6542.4805,8.786224365234375,8.633892071419105,0.15233229381527025,0.008284852347586616,0.14404744146768364,0.6566019378504747,Train,0.6566019378504747,0.0,0.14404744146768364,0.0,0.15233229381527025,0.0,8.786224365234375,0.0,6551.632415155642,-9.151946405641866
2011-07-01,6565.1978,8.789690017700195,8.62695294197193,0.16273707572826446,0.105324429131593,0.05741264659667146,0.2617002747734061,Train,0.2617002747734061,0.0,0.05741264659667146,0.0,0.16273707572826446,0.0,8.789690017700195,0.0,6574.38095834633,-9.183204440079862
2011-08-01,5258.973,8.56788158416748,8.620013812524759,-0.052132228357278265,0.02354970071608066,-0.07568192907335893,-0.3449759383680412,Train,-0.3449759383680412,0.0,-0.07568192907335893,0.0,-0.052132228357278265,0.0,8.56788158416748,0.0,5266.332583544823,-7.359439013573137
2011-09-01,4815.9927,8.479905128479004,8.613074683077587,-0.1331695545985827,-0.0670402154033809,-0.06612933919520181,-0.301432998892119,Train,-0.301432998892119,0.0,-0.06612933919520181,0.0,-0.1331695545985827,0.0,8.479905128479004,0.0,4822.730674781089,-6.737998999838965
2011-10-01,5792.8213,8.664546966552734,8.606135553630414,0.05841141292231988,0.13783556813467257,-0.07942415521235269,-0.36203388059667324,Train,-0.36203388059667324,0.0,-0.07942415521235269,0.0,0.05841141292231988,0.0,8.664546966552734,0.0,5800.923297902081,-8.102008839580776
2011-11-01,6065.425,8.710524559020996,8.599196424183242,0.11132813483775372,0.18038203553350485,-0.06905390069575112,-0.3147638344075445,Train,-0.3147638344075445,0.0,-0.06905390069575112,0.0,0.11132813483775372,0.0,8.710524559020996,0.0,6073.909294320221,-8.484489632721306
2011-12-01,6940.0273,8.845205307006836,8.59225729473607,0.2529480122707657,0.30760548390462783,-0.05465747163386214,-0.24914154272467648,Train,-0.24914154272467648,0.0,-0.05465747163386214,0.0,0.2529480122707657,0.0,8.845205307006836,0.0,6949.7377576644285,-9.7104139144285
