,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataRolled,DataNormalised,Purpose,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal
2010-04-01,2704.53,7.903053283691406,7.273389154529451,0.6296641291619549,-0.05444941711342177,0.6841135462753767,0.29696802743737444,1.117884612669536,Train,1.117884612669536,0.0,0.29696802743737444,0.38714551883800224,0.24251861032395267,0.38714551883800224,7.515907764853404,0.3871455188380022,1878.3449465691863,826.1850827276887
2010-05-01,2366.4639,7.7695746421813965,7.277250507843484,0.49232413433791233,-0.052757723565169945,0.5450818579030823,0.31769691009825174,1.1961519524353756,Train,1.1961519524353756,0.0,0.31769691009825174,0.22738494780483054,0.2649391865330818,0.22738494780483054,7.542189694376566,0.22738494780483087,1928.3925510215295,438.07131616597053
2010-06-01,1555.1049,7.349941253662109,7.281111861157516,0.0688293925045933,-0.044832536529877766,0.11366192903447106,0.3115747694857665,1.1730362029156982,Train,1.1730362029156982,0.0,0.3115747694857665,-0.19791284045129545,0.2667422329558887,-0.19791284045129542,7.547854094113405,-0.19791284045129576,1939.3524128948488,-384.24755449641134
2010-07-01,1419.8783,7.259030342102051,7.284973214471549,-0.025942872369498104,-0.07361829055792485,0.047675418188426744,0.27403684033573855,1.0313018941757353,Train,1.0313018941757353,0.0,0.27403684033573855,-0.2263614221473118,0.2004185497778137,-0.2263614221473118,7.485391764249362,-0.2263614221473116,1821.861069266039,-401.98277336760157
2010-08-01,2231.2373,7.71075963973999,7.288834567785581,0.4219250719544094,0.06699750678500305,0.3549275651694064,0.2726702276370541,1.026141889067591,Train,1.026141889067591,0.0,0.2726702276370541,0.08225733753235226,0.33966773442205717,0.08225733753235226,7.628502302207638,0.08225733753235254,2102.321623937514,128.91568074998622
2010-09-01,1555.1049,7.349941253662109,7.292695921099614,0.057245332562495754,0.020897484509012108,0.03634784805348365,0.2863135418217912,1.0776558044241713,Train,1.0776558044241713,0.0,0.2863135418217912,-0.24996569376830755,0.3072110263308033,-0.24996569376830757,7.599906947430417,-0.24996569376830724,2043.0281944859353,-487.9233360874978
2010-10-01,2434.0771,7.797733783721924,7.296557274413646,0.5011765093082774,0.05910630324476211,0.44207020606351527,0.24040027734569352,0.9042982178480361,Train,0.9042982178480361,0.0,0.24040027734569352,0.20166992871782174,0.29950658059045565,0.20166992871782174,7.596063855004102,0.20166992871782163,2035.187880388097,398.889268049403
2010-11-01,1690.3313,7.433271408081055,7.300418627727678,0.13285278035337633,-0.13586700484499384,0.26871978519837014,0.1858473514308674,0.6983193207869409,Train,0.6983193207869409,0.0,0.1858473514308674,0.08287243376750275,0.04998034658587355,0.08287243376750278,7.350398974313552,0.08287243376750286,1591.6742042562505,98.6570945718745
2010-12-01,1284.6517,7.159020900726318,7.304279981041711,-0.1452590803153928,-0.11899248745090762,-0.026266592864485183,0.2005787598432766,0.7539416216270857,Train,0.7539416216270857,0.0,0.2005787598432766,-0.2268453527077618,0.08158627239236899,-0.2268453527077618,7.38586625343408,-0.22684535270776163,1649.17570814846,-364.5239747500225
2011-01-01,1419.8783,7.259030342102051,7.308141334355743,-0.04911099225369231,-0.3094817056025864,0.2603707133488941,0.21350406413868847,0.8027445021014474,Train,0.8027445021014474,0.0,0.21350406413868847,0.04686664921020564,-0.09597764146389795,0.04686664921020564,7.212163692891846,0.046866649210205225,1386.050030207099,33.8282656913384
2011-02-01,1825.5579,7.510188579559326,7.312002687669776,0.19818589188955027,-0.22456079177961163,0.4227466836691619,0.21376547526594306,0.8037315284573842,Train,0.8037315284573842,0.0,0.21376547526594306,0.20898120840321885,-0.01079531651366858,0.20898120840321885,7.301207371156107,0.20898120840321877,1515.2237819529626,310.33407937516245
2011-03-01,1487.4916,7.305518627166748,7.315864040983809,-0.010345413817060667,-0.1894130508553629,0.17906763703830222,0.2016747902454241,0.7580799722213737,Train,0.7580799722213737,0.0,0.2016747902454241,-0.022607153207121866,0.0122617393900612,-0.022607153207121866,7.3281257803738695,-0.022607153207121478,1556.592404995401,-69.10082784696351
2011-04-01,1352.265,7.210275650024414,7.319725394297841,-0.10944974427342657,-0.05444941711342177,-0.0550003271600048,0.21529531454573012,0.8095078383847979,Train,0.8095078383847979,0.0,0.2152953145457301,-0.2702956417057349,0.16084589743230832,-0.2702956417057349,7.480571291730149,-0.2702956417057347,1813.095162456148,-460.83014780771055
2011-05-01,1893.171,7.546536445617676,7.3235867476118734,0.22294969800580233,-0.052757723565169945,0.2757074215709723,0.24911776622025317,0.9372133862539924,Train,0.9372133862539924,0.0,0.24911776622025317,0.02658965535071911,0.19636004265508322,0.02658965535071911,7.519946790266957,0.026589655350719,1885.9510187884275,7.220001719384982
2011-06-01,1757.9446,7.472469329833984,7.327448100925905,0.145021228908079,-0.044832536529877766,0.18985376543795676,0.2717223242470228,1.0225628309048087,Train,1.0225628309048087,0.0,0.2717223242470228,-0.08186855880906604,0.22688978771714505,-0.08186855880906604,7.55433788864305,-0.08186855880906574,1951.9741333585753,-194.02955328045027
2011-07-01,2028.3976,7.615494251251221,7.331309454239938,0.2841847970112825,-0.07361829055792485,0.35780308756920737,0.2663838661900199,1.0024060806636723,Train,1.0024060806636723,0.0,0.2663838661900199,0.09141922137918745,0.19276557563209507,0.09141922137918745,7.524075029872034,0.09141922137918712,1893.7569059173356,134.64067709047686
